Chave (000188) encontrada na árvore. Tempo de busca: 0.000000529 segundos. Interações: 6
Chave (000448) encontrada na árvore. Tempo de busca: 0.000000067 segundos. Interações: 2
Chave (000407) encontrada na árvore. Tempo de busca: 0.000000219 segundos. Interações: 8
Chave (000454) encontrada na árvore. Tempo de busca: 0.000000149 segundos. Interações: 7
Chave (000145) encontrada na árvore. Tempo de busca: 0.000000379 segundos. Interações: 8
Chave (000074) encontrada na árvore. Tempo de busca: 0.000000577 segundos. Interações: 7
Chave (000254) encontrada na árvore. Tempo de busca: 0.000000382 segundos. Interações: 7
Chave (000136) encontrada na árvore. Tempo de busca: 0.000000238 segundos. Interações: 5
Chave (000161) encontrada na árvore. Tempo de busca: 0.000000283 segundos. Interações: 8
Chave (000313) encontrada na árvore. Tempo de busca: 0.000000349 segundos. Interações: 8
Chave (000426) encontrada na árvore. Tempo de busca: 0.000000299 segundos. Interações: 7
Chave (000359) encontrada na árvore. Tempo de busca: 0.000000266 segundos. Interações: 8
Chave (000394) encontrada na árvore. Tempo de busca: 0.000000231 segundos. Interações: 7
Chave (000015) encontrada na árvore. Tempo de busca: 0.000000450 segundos. Interações: 8
Chave (000441) encontrada na árvore. Tempo de busca: 0.000000202 segundos. Interações: 8
Chave (005322) não encontrada na árvore. Tempo de busca: 0.000000306 segundos. Interações: 9
Chave (012102) não encontrada na árvore. Tempo de busca: 0.000000112 segundos. Interações: 9
Chave (011793) não encontrada na árvore. Tempo de busca: 0.000000076 segundos. Interações: 9
Chave (016825) não encontrada na árvore. Tempo de busca: 0.000000077 segundos. Interações: 9
Chave (012343) não encontrada na árvore. Tempo de busca: 0.000000078 segundos. Interações: 9
Chave (002517) não encontrada na árvore. Tempo de busca: 0.000000077 segundos. Interações: 9
Chave (011896) não encontrada na árvore. Tempo de busca: 0.000000073 segundos. Interações: 9
Chave (010368) não encontrada na árvore. Tempo de busca: 0.000000112 segundos. Interações: 9
Chave (002685) não encontrada na árvore. Tempo de busca: 0.000000077 segundos. Interações: 9
Chave (019787) não encontrada na árvore. Tempo de busca: 0.000000078 segundos. Interações: 9
Chave (008022) não encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 9
Chave (013704) não encontrada na árvore. Tempo de busca: 0.000000077 segundos. Interações: 9
Chave (018301) não encontrada na árvore. Tempo de busca: 0.000000071 segundos. Interações: 9
Chave (010466) não encontrada na árvore. Tempo de busca: 0.000000078 segundos. Interações: 9
Chave (006949) não encontrada na árvore. Tempo de busca: 0.000000140 segundos. Interações: 9
