Chave (002919) encontrada na árvore. Tempo de busca: 0.000065660 segundos. Interações: 2918
Chave (002641) encontrada na árvore. Tempo de busca: 0.000053970 segundos. Interações: 2640
Chave (004124) encontrada na árvore. Tempo de busca: 0.000086382 segundos. Interações: 4123
Chave (000379) encontrada na árvore. Tempo de busca: 0.000008263 segundos. Interações: 378
Chave (002147) encontrada na árvore. Tempo de busca: 0.000043638 segundos. Interações: 2146
Chave (000305) encontrada na árvore. Tempo de busca: 0.000005573 segundos. Interações: 304
Chave (001902) encontrada na árvore. Tempo de busca: 0.000036070 segundos. Interações: 1901
Chave (001996) encontrada na árvore. Tempo de busca: 0.000038663 segundos. Interações: 1995
Chave (003203) encontrada na árvore. Tempo de busca: 0.000070899 segundos. Interações: 3202
Chave (004761) encontrada na árvore. Tempo de busca: 0.000121289 segundos. Interações: 4760
Chave (000916) encontrada na árvore. Tempo de busca: 0.000020326 segundos. Interações: 915
Chave (000999) encontrada na árvore. Tempo de busca: 0.000019042 segundos. Interações: 998
Chave (001546) encontrada na árvore. Tempo de busca: 0.000030427 segundos. Interações: 1545
Chave (000801) encontrada na árvore. Tempo de busca: 0.000015272 segundos. Interações: 800
Chave (004807) encontrada na árvore. Tempo de busca: 0.000098997 segundos. Interações: 4806
Chave (005536) não encontrada na árvore. Tempo de busca: 0.000129286 segundos. Interações: 5000
Chave (010921) não encontrada na árvore. Tempo de busca: 0.000123220 segundos. Interações: 5000
Chave (018195) não encontrada na árvore. Tempo de busca: 0.000115024 segundos. Interações: 5000
Chave (012413) não encontrada na árvore. Tempo de busca: 0.000112574 segundos. Interações: 5000
Chave (007822) não encontrada na árvore. Tempo de busca: 0.000111196 segundos. Interações: 5000
Chave (005010) não encontrada na árvore. Tempo de busca: 0.000151359 segundos. Interações: 5000
Chave (018553) não encontrada na árvore. Tempo de busca: 0.000121897 segundos. Interações: 5000
Chave (005003) não encontrada na árvore. Tempo de busca: 0.000109257 segundos. Interações: 5000
Chave (013296) não encontrada na árvore. Tempo de busca: 0.000107011 segundos. Interações: 5000
Chave (015509) não encontrada na árvore. Tempo de busca: 0.000104199 segundos. Interações: 5000
Chave (011781) não encontrada na árvore. Tempo de busca: 0.000101927 segundos. Interações: 5000
Chave (009788) não encontrada na árvore. Tempo de busca: 0.000101649 segundos. Interações: 5000
Chave (007746) não encontrada na árvore. Tempo de busca: 0.000101963 segundos. Interações: 5000
Chave (009893) não encontrada na árvore. Tempo de busca: 0.000100505 segundos. Interações: 5000
Chave (007626) não encontrada na árvore. Tempo de busca: 0.000124703 segundos. Interações: 5000
